judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Antara Aku, Kau & Bekas Pacar;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/2oG8QeSJoGredGXPL8u7jY;['classic indonesian rock'];Tabir gelap yang dulu hinggap Lambat laun mulai terungkap Labil tawamu tak pasti tangismu Jelas membuat aku sangat ingin mencari  Apa yang tersembunyi Di balik manis senyummu Apa yang tersembunyi Di balik bening dua matamu  Dapat kutemui Mengapa engkau tak pasti Lalu aku coba untuk mengerti ...
Sarjana Muda;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/0MIrt7XcZOIYBKNO6lZmi7;['classic indonesian rock'];Berjalan seorang pria muda Dengan jaket lusuh di pundaknya Di sela bibir tampak mengering Terselip s'batang rumput liar  Jelas menatap awan berarak Wajah murung s'makin terlihat Dengan langkah gontai tak terarah K'ringat bercampur debu jalanan  Engkau sarjana muda Resah mencari kerja Mengandalkan ijazahmu ...
Manusia Setengah Dewa;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/1ICWWNsb81GaKrLfupRm4E;['classic indonesian rock'];Wahai presiden kami yang baru Kamu harus dengar suara ini Suara yang keluar dari dalam goa Goa yang penuh lumut kebosanan  Walau hidup adalah permainan Walau hidup adalah hiburan Tetapi kami tak mau dipermainkan Dan kami juga bukan hiburan  Turunkan harga secepatnya Berikan kami pekerjaan Pasti kuangkat engkau ...
Belalang Tua;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/19duXO0xucMZgTOqzn6Rr9;['classic indonesian rock'];Belalang tua di ujung daun Warnanya kuning kecokelat-cokelatan Badannya bergoyang ditiup angin Mulutnya terus saja mengunyah Tak kenyang-kenyang  Sudut mata kananku tak sengaja Melihat belalang tua yang rakus Sambil menghisap dalam rokokku Kutulis syair tentang hati yang khawatir  Sebab menyaksikan akhir dari kerakusan Belalang tua yang tak kenyang-kenyang  Seperti sadar kuperhatikan Ia berhenti mengunyah Kepalanya mendongak ke atas Matanya melotot melihatku tak senang Kakinya mencengkeram daun Empat di depan dua di belakang Bergerigi tajam  ...
Ambulan Zig Zag;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/354rrjYt3Nzw8wtJSwMVhq;['classic indonesian rock'];Deru ambulans memasuki pelataran Rumah sakit yang putih berkilau Di dalam ambulans tersebut Tergolek sosok tubuh gemuk, bergelimang perhiasan  Nyonya kaya pingsan mendengar kabar putranya kecelakaan Dan para medis berdatangan, kerja cepat Lalu langsung membawa korban menuju ruang periksa Tanpa basa-basi, ini mungkin sudah terbiasa  Tak lama berselang, super helicak datang Masuk membawa korban yang berkain sarung Seluruh badannya melepuh Akibat pangkalan bensin ecerannya meledak  ...
Sore Tugu Pancoran;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/1941rTaco5chwlMaWEZF5c;['classic indonesian rock'];Si Budi kecil kuyup menggigil Menahan dingin tanpa jas hujan Di simpang jalan Tugu Pancoran Tunggu pembeli jajakan koran  Menjelang Magrib, hujan tak reda Si Budi murung menghitung laba Surat kabar sore dijual malam Selepas Isya, melangkah pulang  ...
Jendela Kelas I;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/3udzUHisLZHNbEkAeM3iRS;['classic indonesian rock'];Duduk di pojok bangku deretan belakang Di dalam kelas penuh dengan obrolan Selalu mengacau laju khayalan  Dari jendela kelas yang tak ada kacanya Dari sana pula aku mulai mengenal Seraut wajah berisi lamunan  ...
Ujung Aspal Pondok Gede;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/44BUoMHDPmThPZK2JGEzeg;['classic indonesian rock'];Di kamar ini, aku dilahirkan Di balai bambu buah tangan bapakku Di rumah ini, aku dibesarkan Dibelai mesra lentik jari Ibu  Nama dusunku Ujung Aspal Pondok Gede Rimbun dan anggun, ramah senyum penghuni dusun  Kambing sembilan, motor tiga bapak punya ...
Kumenanti Seorang Kekasih;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/1PSqDuwQvlDOEVDloG7sUq;['classic indonesian rock'];Bila mentari bersinar lagi Hatiku pun ceria kembali (asyik) Kutatap mega tiada yang hitam Betapa indah hari ini  'Ku menanti seorang kekasih Yang tercantik yang datang di hari ini Adakah dia 'kan selalu setia Bersanding hidup penuh pesona? Harapanku ...
Guru Oeamar Bakri;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/5TTuhFvfZGsEkMZvW3GjXy;['classic indonesian rock'];"Tas hitam dari kulit buaya Selamat pagi Berkata bapak Umar Bakri Ini hari aku rasa kopi nikmat sekali  Tas hitam dari kulit buaya Mari kita pergi memberi pelajaran ilmu pasti Itu murid bengalmu mungkin sudah menunggu  Laju sepeda kumbang di jalan berlubang Selalu begitu dari dulu waktu jaman Jepang Terkejut dia waktu mau masuk pintu gerbang Banyak polisi bawa senjata berwajah garang  Bapak Umar Bakri kaget apa gerangan? ""Berkelahi pak!"" jawab murid seperti jagoan Bapak Oemar Bakrie takut bukan kepalang Itu sepeda butut dikebut lalu cabut kalang kabut Cepat pulang  Busyet Standing dan terbang ..."
Selamat Tidur Sayang (new version);Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/1ZAE5b0scNyHAWpVgq7xck;['classic indonesian rock'];Sayang, selamat malam Sayang, selamat tidur Sayang, mimpi indah Tentang kau dan aku  Panggil namaku sebelum tidur Agar kuhadir dalam mimpimu Kita 'kan terbang di atas awan Berdua, selalu berdua  ...
Rinduku (new version);Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/7gKumtIYSaDrKCUkA9dmV3;['classic indonesian rock'];Tolong rasakan ungkapan hati Rasa saling memberi Agar semakin erat hati kita Jalani kisah yang ada  Ku tak pernah merasa jemu Jika kau selalu di sampingku Begitu nyanyian rinduku Terserah apa katamu  Rambutmu Matamu Bibirmu Ku rindu  ...
Aku Bukan Pilihan;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/4nvyanUoSWyykStygRYbIp;['classic indonesian rock'];Kini ku mengungkap tanya Siapakah dirinya Yang mengaku kekasihmu itu? Aku tak bisa memahami  Ketika malam tiba Ku rela kau berada Dengan siapa kau melewatinya Aku tak bisa memahami  Aku lelaki tak mungkin menerimamu bila Ternyata kau mendua, membuatku terluka ...
Buku Ini Aku Pinjam;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/25LWHmFjqlAcg95gnh02io;['classic indonesian rock'];Dia tahu, dia rasa Cinta ini milik kita  Di kantin depan kelasku Di sana kenal dirimu Yang kini tersimpan di hati Jalani kisah sembunyi  Di halte itu kutunggu Senyum manismu kekasih Usai dentang bel sekolah Kita nikmati yang ada  Seperti hari yang lain Kau senyum tersipu malu ...
Antara Aku, Kau Dan Bekas Pacarmu (new version);Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/0nbHSzJmde66cVwMGQWe2P;['classic indonesian rock'];Tabir gelap yang dulu hinggap Lambat laun mulai terungkap Labil tawamu tak pasti tangismu Jelas membuat aku sangat ingin mencari  Apa yang tersembunyi Di balik manis senyummu Apa yang tersembunyi Di balik bening dua matamu  Dapat kutemui Mengapa engkau tak pasti Lalu aku coba untuk mengerti ...
Kemesraan;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/134wQxxKYEk27nTgSoGzGz;['classic indonesian rock'];Suatu hari Di kala kita duduk di tepi pantai Dan memandang Ombak di lautan yang kian menepi  Burung camar Terbang, bermain di derunya air Suara alam ini Hangatkan jiwa kita  Sementara Sinar surya perlahan mulai tenggelam Suara gitarmu Mengalunkan melodi tentang cinta  Ada hati Membara erat bersatu Getar s'luruh jiwa Tercurah saat itu  Kemesraan ini ...
Nyanyianmu;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/4MVmXarPG0vyNbRva8hGJ2;['classic indonesian rock'];Kau petik gitar nyanyikan lagu Perlahan usap hatiku Terucap janjiku untukmu Tenggelam 'ku di tembangmu  Tulikanlah kedua telingaku Butakanlah kedua bola mataku Agar tak kulihat dan kudengar Kedengkian yang mungkin benar  ...
Sebelum Kau Bosan;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/02mKdQT8MZOwx9lpSNgIcd;['classic indonesian rock'];Sebelum kau bosan, sebelum aku menjemukan Tolonglah ucapkan dan tolong engkau ceritakan Semua yang indah, semua yang cantik Berjanjilah  Ciptakanlah lagu yang kau anggap merdu, Dik Nyanyikan untukku, sungguh aku perlu itu Bila kau tak suka, bilang saja suka ...
Yang Tersendiri;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/6vqEAKHjjFmyr56xNl9cVw;['classic indonesian rock'];Terhempas kuterjaga Dari lingkar mimpi Pada titik sepi  Suaramu terngiang Menembus khayalku Yang juga tentangmu  Dan kuakui tanpa kemunafikan Kucinta kau Bahwasanya keakuanku bersumpah Kucinta kau  Bayangmu menghantui Setiap gerakku ...
Jangan Tutup Dirimu;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/1mnf9HeUFzJqLiJcAd7Srx;['classic indonesian rock'];Dari hati yang paling dalam Kudendangkan Sebuah lagu temani sepi Sejenak iringi nurani  Ada jarak di antara kita Selimuti Sekian waktu telah tersita Inginku hilang jarak terbentang Semoga  Datanglah kau kekasih Dekap aku erat-erat Jangan buang Pelukku yang tulus Biarkan hujan turun ...
Maaf Cintaku;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/1jor07yMreTMLcYOWOkBVQ;['classic indonesian rock'];Ingin kuludahi mukamu yang cantik Agar kau mengerti bahwa kau memang cantik Ingin kucongkel keluar indah matamu Agar engkau tahu memang indah matamu  Harus kuakui bahwa aku pengecut Untuk menciummu juga merabamu Namun aku tak takut untuk ucapkan Segudang kata cinta padamu  ...
Entah;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/5O3DWAb42I3RfyIeMU2hy1;['classic indonesian rock'];"Entah mengapa aku tak berdaya Waktu kau bisikkan ""Jangan aku kau tinggalkan!"" Tak tahu di mana ada getar terasa Waktu kau katakan ""Ku butuh dekat denganmu!""  Seperti biasa aku diam tak bicara Hanya mampu pandangi Bibir tipismu yang menarik Seperti biasa aku tak sanggup berjanji Hanya mampu katakan ""Aku cinta kau saat ini!""  Entah esok hari ..."
Sesuatu Yang Tertunda;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/6zf41XJAxhCzvvG87E4vOr;['classic indonesian rock'];Disini aku sendiri Menatap relung-relung hidup Aku merasa hidupku Tak seperti yang kuinginkan  Terhampar begitu banyak Warna kelam sisi diriku Seperti yang mereka tahu Seperti yang mereka tahu  Aku merasa disudutkan kenyataan Menuntut diriku dan tak sanggup kumelawan Butakan mataku semua tentang keindahan Menggugah takutku menantang sendiriku  Temui cinta ...
Yang Tersendiri;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/3PejnXvPMlzc1gETgAUsRk;['classic indonesian rock'];Terhempas kuterjaga Dari lingkar mimpi Pada titik sepi  Suaramu terngiang Menembus khayalku Yang juga tentangmu  Dan kuakui tanpa kemunafikan Kucinta kau Bahwasanya keakuanku bersumpah Kucinta kau  Bayangmu menghantui Setiap gerakku ...
Buku Ini Aku Pinjam;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/3vpFiPzUe711ON86fp4WGQ;['classic indonesian rock'];Dia tahu, dia rasa Cinta ini milik kita  Di kantin depan kelasku Di sana kenal dirimu Yang kini tersimpan di hati Jalani kisah sembunyi  Di halte itu kutunggu Senyum manismu kekasih Usai dentang bel sekolah Kita nikmati yang ada  Seperti hari yang lain Kau senyum tersipu malu ...
Sumbang;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/7z3WfbyekwWx3lOKYv6KRU;['classic indonesian rock'];Kuatnya belenggu besi Mengikat kedua kaki Tajamnya ujung belati Menujam di ulu hati Sanggupkah tak akan lari Walau akhirnya pasti mati?  Di kepala tanpa baja Di tangan tanpa senjata Ah, itu soal biasa Yang singgah di depan mata kita  Lusuhnya kain bendera di halaman rumah kita Bukan satu alasan untuk kita tinggalkan Banyaknya persoalan yang datang tak kenal kasihan Menyerang dalam gelap  Memburu kala haru dengan cara main kayu ...
Antara Aku, Kau Dan Bekas Pacarmu;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/6jkbMRZJHtjtpssDx3nigM;['classic indonesian rock'];Tabir gelap yang dulu hinggap Lambat laun mulai terungkap Labil tawamu tak pasti tangismu Jelas membuat aku sangat ingin mencari  Apa yang tersembunyi Di balik manis senyummu Apa yang tersembunyi Di balik bening dua matamu  Dapat kutemui Mengapa engkau tak pasti Lalu aku coba untuk mengerti ...
Mata Indah Bola Pingpong;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/1BkJN0udwRPnsEiYR2gvVJ;['classic indonesian rock'];Pria mana yang tak suka Senyummu juwita Kalau ada yang tak suka Mungkin sedang goblok  Engkau baik Engkau cantik Kau wanita Aku cinta  Mata indah bola pingpong Masihkah kau kosong? Bolehkah aku membelai Hidungmu yang aduhai?  Engkau baik Engkau cantik Kau wanita Aku puja  Jangan marah kalau kugoda Sebab pantas kau digoda Salah sendiri kau manis ...
Aku Sayang Kamu;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/2mwgxc20TUEeRhEa0KhOiU;['classic indonesian rock'];Susah susah mudah kau kudekati Kucari engkau lari kudiam kau hampiri Jinak burung dara justru itu kusuka Bila engkau tertawa hilang semua duka  Gampang naik darah omong tak mau kalah Kalau datang senang nona cukup ramah Bila engkau bicara persetan logika Sedikit keras kepala ah dasar betina  Ku suka kamu Sungguh suka kamu Ku perlu kamu Sungguh perlu kamu  ...
Guru Oemar Bakrie;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/2b5J7AL5kayF8JstqNqKap;['classic indonesian rock'];"Tas hitam dari kulit buaya Selamat pagi Berkata bapak Umar Bakri Ini hari aku rasa kopi nikmat sekali  Tas hitam dari kulit buaya Mari kita pergi memberi pelajaran ilmu pasti Itu murid bengalmu mungkin sudah menunggu  Laju sepeda kumbang di jalan berlubang Selalu begitu dari dulu waktu jaman Jepang Terkejut dia waktu mau masuk pintu gerbang Banyak polisi bawa senjata berwajah garang  Bapak Umar Bakri kaget apa gerangan? ""Berkelahi pak!"" jawab murid seperti jagoan Bapak Oemar Bakrie takut bukan kepalang Itu sepeda butut dikebut lalu cabut kalang kabut Cepat pulang  Busyet Standing dan terbang ..."
Sore Tugu Pancoran;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/3WJllc8evp9sshqiDwBvXi;['classic indonesian rock'];Si Budi kecil kuyup menggigil Menahan dingin tanpa jas hujan Di simpang jalan Tugu Pancoran Tunggu pembeli jajakan koran  Menjelang Magrib, hujan tak reda Si Budi murung menghitung laba Surat kabar sore dijual malam Selepas Isya, melangkah pulang  ...
Sarjana Muda;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/7evQs8iXll8fm2ISS9ZmH3;['classic indonesian rock'];Berjalan seorang pria muda Dengan jaket lusuh di pundaknya Di sela bibir tampak mengering Terselip s'batang rumput liar  Jelas menatap awan berarak Wajah murung s'makin terlihat Dengan langkah gontai tak terarah K'ringat bercampur debu jalanan  Engkau sarjana muda Resah mencari kerja Mengandalkan ijazahmu ...
Kereta Tiba Pukul Berapa;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/0OJCAVPco3yv7Tmyr71AC7;['classic indonesian rock'];Hilang sabar di hati Dan tak terbendung lagi waktu itu Lama memang kutunggu Kedatanganmu sobat karibku  Datang telegram darimu Dua hari yang lalu (tunggu aku) Di stasiun kereta itu pukul satu  Kupacu sepeda motorku Jarum jam tak mau menunggu Maklum rindu  Traffic light aku lewati Lampu merah tak peduli Jalan terus (asyik)  Di depan ada polantas ...
Kemesraan;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/5XhTl1IYpVIR3q1TfYGKJm;['classic indonesian rock'];Suatu hari Di kala kita duduk di tepi pantai Dan memandang Ombak di lautan yang kian menepi  Burung camar Terbang, bermain di derunya air Suara alam ini Hangatkan jiwa kita  Sementara Sinar surya perlahan mulai tenggelam Suara gitarmu Mengalunkan melodi tentang cinta  Ada hati Membara erat bersatu Getar s'luruh jiwa Tercurah saat itu  Kemesraan ini ...
Asik Gak Asik;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/6hrEMMxm4JC9ewC96Xy9OG;['classic indonesian rock'];Dunia politik penuh dengan intrik Cubit sana cubit sini itu sudah lumrah Seperti orang pacaran Kalau nggak nyubit nggak asyik  Dunia politik penuh dengan intrik Kilik sana kilik sini itu sudah wajar Seperti orang adu jangkrik Kalau nggak ngilik nggak asyik  Rakyat nonton jadi suporter Kasih semangat jagoannya Walau tahu jagoannya ngibul Walau tahu dapur nggak ngebul Dunia politik dunia bintang Dunia hura-hura para binatang Berjoget dengan asyik  Dunia politik punya hukum sendiri Colong sana colong sini atau colong-colongan Seperti orang nyolong mangga ...
Manusia Setengah Dewa;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/5vXlk17rLvAqWBIosZYWhO;['classic indonesian rock'];Wahai presiden kami yang baru Kamu harus dengar suara ini Suara yang keluar dari dalam goa Goa yang penuh lumut kebosanan  Walau hidup adalah permainan Walau hidup adalah hiburan Tetapi kami tak mau dipermainkan Dan kami juga bukan hiburan  Turunkan harga secepatnya Berikan kami pekerjaan Pasti kuangkat engkau ...
17 Juli 1996;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/4yhNseLerufi2cc6mu7efR;['classic indonesian rock'];Gonjang-ganjing gonggongan anjing Anjing herder sampai anjing peking Dar-der-dor otak digedor Dengan pelor hati diteror O-o-oh O-o-oh O-o-o-oh Ngeles!  Sas-sis-sus dengar desas-desus Banyak kasus bikin sakit usus Hang-heng-hong berita bohong Kongkalikong sindikat kingkong O-o-oh O-o-oh O-o-o-oh Cuek aje!  Kwek-kwek-kwek suara bebek Merem melek denger geledek Dalam benteng diadu gambreng Bandar judi tambah mentereng O-o-oh O-o-oh O-o-o-oh Untung banyak doi! ...
Dan Orde Paling Baru;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/73vBKaqekilHVNbs0BOCdC;['classic indonesian rock'];KKN berkembang biak sampai kelurahan Banyak orang yang kehilangan pegangan Perlu pemimpin yang demokratis tapi bertangan besi Kata seorang tokoh yang baru sembuh dari sakit  Sementara rakyat tidak peduli siapa yang mimpin Yang penting kebutuhan hidup yang wajar terpenuhi Kelaparan, kemiskinan, dan pengangguran masih terjadi Ya, banyak orang yang hidup di bawah garis kemiskinan  Kota besar menjadi magnet Karena televisi mengiming-imingi Yang jelas rakyat butuh pendidikan ...
Buktikan;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/1Yed32BW2df35x64ampu1g;['classic indonesian rock'];Kata kata berbisa Mulut mulut berbusa Janji janji bertebaran Seperti biasa dari atas panggung Atas nama bangsa  Yang mendengar terpesona Bahkan ada yang terkesima Aku pun tergoda Untuk mengikuti apa yang terjadi Apakah memang janji hanya janji  Buktikan buktikan Itu yang di nanti-nanti Buktikan buktikan Kalau hanya omong Burung beo pun bisa  ...
16 Juli 1996;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/58413KMrgiIY17OCluE5Ns;['classic indonesian rock'];Kukenal kamu dari jauh Tergetar hati melihatmu Matamu bening, suaramu bening Semangatmu hening Wajahmu lembut, senyummu lembut Rambutmu lepas tergerai  Terasa sejuk mengenalmu Merdeka aku dibuaimu Jalan yang panjang sebatas pandang Kau tempuh tanpa mengeluh Tangan terkepal berangkatlah kapal ...
Negeriku;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/54IFy5EeqDcfRM7DeI6voW;['classic indonesian rock'];Bersih, bersih, bersih, bersihlah negeriku Malu, malu, malu, malulah hati Kotornya teramat gawat, ya kotornya sangat Inilah amanat yang menjadi keramat  Bersih, bersih, bersih, bersihlah diri Sebelum menyapu sampah dan debu-debu Nyanyian berkarat sampai ke liang lahat Atas nama rakyat yang berwajah pucat  ...
Matahari Bulan Dan Bintang;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/7uA9eJiqWhslTgdKLoFnbi;['classic indonesian rock'];Lirik lagu: Matahari Bulan Dan Bintang Aku sedang susah Perang saudara didepan mata Sana teman sini kawan Korban sudah berjatuhan  Dimana tempatkan diri Banyak orang yang kehilangan diri Wakil rakyatnya malah dagelan Sedangkan para pakar oleng dibentur kenyataan  Penyiar TV bergetar suaranya Rakyat yang lapar saling menerkam Ahli agama kewalahan Seiman kok perang ...
Desa;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/3Uypwg0k0OSEV0X9B04lJb;['classic indonesian rock'];Desa harus jadi kekuatan ekonomi Agar warganya tak hijrah ke kota Sepinya desa adalah modal utama Untuk bekerja dan mengembangkan diri  Walau lahan sudah menjadi milik kota Bukan berarti desa lemah tak berdaya Desa adalah kekuatan sejati Negara harus berpihak pada para petani  Entah bagaimana caranya Desalah masa depan kita Keyakinan ini datang begitu saja Karena aku tak mau celaka ...
Para Tentara;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/5QwP5SRIyepJbkYsCtKgjZ;['classic indonesian rock'];Para tentara jangan pukul kami Kami tak kuat menahan rasa sakit Kami di sini atas dasar nurani Atas dasar akal sehat kami yang terus menjerit Ingin berbuat  Para tentara jangan siksa teman kami Kami tak kuat untuk membayangkan semuanya Kami di sini karena kami tahu Mana baik mana buruk benar dan salah Percayalah  Para tentara kamu 'kan manusia Bukan robot apalagi boneka ...
Mungkin;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/4lkIxIEveyMcv1hiWaqavN;['classic indonesian rock'];Di negeri ini apa saja bisa terjadi Untuk mendapatkan keadilan Kalau perlu membeli  Yang hitam bisa menjadi putih Yang putih pun begitu Terhadap yang benar saja sewenang-wenang Apalagi yang salah  Sebenarnya ini cerita lama Tapi nyatanya sampai kini Masih sama  Banyak pengacara berjaya karenanya Pengangguran banyak acara itulah dia Tekak-tekuk hukum sudah menahun Pengadilan bagai sarang para penyamun  ...
Politik Uang;Iwan Fals;Iwan Fals FULL ALBUM;https://open.spotify.com/track/1ngYUtFyaxGrxbrVra3y1K;['classic indonesian rock'];Boleh saja partai ribuan jumlahnya Tapi yang menang yang punya uang Seorang cepek ceng sudah bisa jadi presiden Begitulah cerita yang berkembang  Gontok-gontokan sudah nggak musim Adu doku ini yang ditunggu-tunggu Pemilu tempat berpestanya uang palsu Habis kalau nggak gitu nggak lucu  Program-program berseliweran Seperti dongeng zaman kecil dulu Walau ternyata hanya kibul doang ...
